1	19.81	0.07	19.81	19.81	19.81	19.81	19.81	19.81	0	0	0	0	0	0	
2	58.99	0.17	58.99	58.99	58.99	58.99	58.99	58.99	0	0	0	0	0	0	
3	32.98	0.15	32.98	32.98	32.98	32.98	32.98	32.98	0	0	0	0	0	0	
4	67.98	0.12	67.98	67.98	67.98	67.98	67.98	67.98	0	0	0	0	0	0	
5	24.29	0.11	24.29	24.29	24.29	24.29	24.29	24.29	0	0	0	0	0	0	
6	61.76	0.12	61.76	61.76	61.76	61.76	61.76	61.76	0	0	0	0	0	0	
7	48.21	0.15	48.21	48.21	48.21	48.21	48.21	48.21	0	0	0	0	0	0	
8	72.00	0.20	72.00	72.00	72.00	72.00	72.00	72.00	0	0	0	0	0	0	
9	11.42	0.16	11.42	11.42	11.42	11.42	11.42	11.42	0	0	0	0	0	0	
10	74.48	0.07	74.48	74.48	74.48	74.48	74.48	74.48	0	0	0	0	0	0	
11	10.43	0.06	10.43	10.43	10.43	10.43	10.43	10.43	0	0	0	0	0	0	
12	61.99	0.07	61.99	61.99	61.99	61.99	61.99	61.99	0	0	0	0	0	0	
13	78.79	0.11	78.79	78.79	78.79	78.79	78.79	78.79	0	0	0	0	0	0	
14	10.99	0.11	10.99	10.99	10.99	10.99	10.99	10.99	0	0	0	0	0	0	
15	34.41	0.15	34.41	34.41	34.41	34.41	34.41	34.41	0	0	0	0	0	0	
16	67.41	0.17	67.41	67.41	67.41	67.41	67.41	67.41	0	0	0	0	0	0	
17	56.93	0.08	56.93	56.93	56.93	56.93	56.93	56.93	0	0	0	0	0	0	
18	41.22	0.16	41.22	41.22	41.22	41.22	41.22	41.22	0	0	0	0	0	0	
19	37.35	0.10	37.35	37.35	37.35	37.35	37.35	37.35	0	0	0	0	0	0	
20	49.04	0.16	49.04	49.04	49.04	49.04	49.04	49.04	0	0	0	0	0	0	
21	7.29	0.06	7.29	7.29	7.29	7.29	7.29	7.29	0	0	0	0	0	0	
22	50.85	0.06	50.85	50.85	50.85	50.85	50.85	50.85	0	0	0	0	0	0	
23	13.77	0.09	13.77	13.77	13.77	13.77	13.77	13.77	0	0	0	0	0	0	
24	54.35	0.09	54.35	54.35	54.35	54.35	54.35	54.35	0	0	0	0	0	0	
25	33.86	0.08	33.86	33.86	33.86	33.86	33.86	33.86	0	0	0	0	0	0	
26	72.87	0.18	72.87	72.87	72.87	72.87	72.87	72.87	0	0	0	0	0	0	
27	47.72	0.12	47.72	47.72	47.72	47.72	47.72	47.72	0	0	0	0	0	0	
28	33.77	0.12	33.77	33.77	33.77	33.77	33.77	33.77	0	0	0	0	0	0	
29	58.95	0.18	58.95	58.95	58.95	58.95	58.95	58.95	0	0	0	0	0	0	
30	40.04	0.05	40.04	40.04	40.04	40.04	40.04	40.04	0	0	0	0	0	0	
31	72.88	0.08	72.88	72.88	72.88	72.88	72.88	72.88	0	0	0	0	0	0	
32	55.83	0.16	55.83	55.83	55.83	55.83	55.83	55.83	0	0	0	0	0	0	
33	17.78	0.09	17.78	17.78	17.78	17.78	17.78	17.78	0	0	0	0	0	0	
34	20.82	0.16	20.82	20.82	20.82	20.82	20.82	20.82	0	0	0	0	0	0	
35	52.69	0.17	52.69	52.69	52.69	52.69	52.69	52.69	0	0	0	0	0	0	
36	55.90	0.17	55.90	55.90	55.90	55.90	55.90	55.90	0	0	0	0	0	0	
37	62.00	0.06	62.00	62.00	62.00	62.00	62.00	62.00	0	0	0	0	0	0	
38	45.21	0.05	45.21	45.21	45.21	45.21	45.21	45.21	0	0	0	0	0	0	
39	68.41	0.19	68.41	68.41	68.41	68.41	68.41	68.41	0	0	0	0	0	0	
40	43.25	0.08	43.25	43.25	43.25	43.25	43.25	43.25	0	0	0	0	0	0	
41	35.72	0.13	35.72	35.72	35.72	35.72	35.72	35.72	0	0	0	0	0	0	
42	63.09	0.16	63.09	63.09	63.09	63.09	63.09	63.09	0	0	0	0	0	0	
43	78.17	0.12	78.17	78.17	78.17	78.17	78.17	78.17	0	0	0	0	0	0	
44	20.46	0.12	20.46	20.46	20.46	20.46	20.46	20.46	0	0	0	0	0	0	
45	6.82	0.07	6.82	6.82	6.82	6.82	6.82	6.82	0	0	0	0	0	0	
46	10.57	0.14	10.57	10.57	10.57	10.57	10.57	10.57	0	0	0	0	0	0	
47	39.50	0.10	39.50	39.50	39.50	39.50	39.50	39.50	0	0	0	0	0	0	
48	19.06	0.14	19.06	19.06	19.06	19.06	19.06	19.06	0	0	0	0	0	0	
49	14.44	0.08	14.44	14.44	14.44	14.44	14.44	14.44	0	0	0	0	0	0	
